symbol,rows_recent,avg_volume_recent,last_close,data_start,data_end
SEARL,252,6302329.67,93.42,2025-05-09,2026-05-08
AHCL,252,6040901.58,14.83,2025-05-09,2026-05-08
WAVES,252,5985452.15,10.69,2025-05-09,2026-05-08
DSL,252,5909450.57,5.92,2025-05-09,2026-05-08
ASL,252,5548332.48,12.11,2025-05-09,2026-05-08
TSBL,220,5401458.52,1.83,2025-05-20,2026-05-08
ICIBL,252,5144575.32,4.3,2025-05-09,2026-05-08
TPL,252,4956969.85,11.11,2025-05-09,2026-05-08
YOUW,252,4925764.43,6.28,2025-05-09,2026-05-08
DGKC,252,4843024.09,190.31,2025-05-09,2026-05-08
THCCL,252,4801111.78,55.75,2025-05-09,2026-05-08
LOADS,252,4719423.46,13.68,2025-05-09,2026-05-08
SLGL,252,4690808.77,15.35,2025-05-09,2026-05-08
TOMCL,252,4563032.3,34.85,2025-05-09,2026-05-08
GCWL,252,4542194.0,17.16,2025-05-09,2026-05-08
WASL,252,4526542.7,5.02,2025-05-09,2026-05-08
LOTCHEM,252,4491453.15,27.4,2025-05-09,2026-05-08
BNL,252,4424287.99,8.38,2025-05-09,2026-05-08
FDPL,252,4315504.5,4.53,2025-05-09,2026-05-08
NPL,252,4264713.02,75.99,2025-05-09,2026-05-08
PREMA,252,4255594.98,34.66,2025-05-09,2026-05-08
TBL,252,4142501.39,9.49,2025-05-09,2026-05-08
WAVESAPP,252,4132834.12,8.52,2025-05-09,2026-05-08
GGL,252,4052938.87,18.96,2025-05-09,2026-05-08
PSO,252,3951482.39,364.97,2025-05-09,2026-05-08
AKBL,252,3866800.42,96.26,2025-05-09,2026-05-08
GCIL,252,3480881.22,29.09,2025-05-09,2026-05-08
CPHL,252,3473534.02,80.64,2025-05-09,2026-05-08
STPL,252,3464961.83,7.31,2025-05-09,2026-05-08
SYM,252,3459710.36,10.65,2025-05-09,2026-05-08
SNGP,252,3383397.47,99.63,2025-05-09,2026-05-08
AMTEX,252,3333509.4,4.8,2025-05-09,2026-05-08
SYS,250,3214369.35,153.89,2025-05-09,2026-05-08
QUICE,252,3132934.19,26.7,2025-05-09,2026-05-08
FCL,252,3128417.69,23.4,2025-05-09,2026-05-08
IMAGE,252,3101012.86,24.13,2025-05-09,2026-05-08
BAFL,252,2961388.62,59.08,2025-05-09,2026-05-08
ENGROH,252,2793459.01,279.5,2025-05-09,2026-05-08
FABL,252,2642979.35,89.25,2025-05-09,2026-05-08
FFC,252,2611186.26,532.94,2025-05-09,2026-05-08
AIRLINK,252,2591993.67,142.61,2025-05-09,2026-05-08
EPCL,252,2589730.58,34.8,2025-05-09,2026-05-08
ASC,252,2576909.46,11.55,2025-05-09,2026-05-08
DFML,252,2454700.04,22.22,2025-05-09,2026-05-08
HBL,252,2414582.87,295.26,2025-05-09,2026-05-08
NML,252,2407678.59,152.39,2025-05-09,2026-05-08
BBFL,252,2405568.31,45.0,2025-05-09,2026-05-08
GGGL,252,2361721.47,8.09,2025-05-09,2026-05-08
BIPL,252,2319776.67,25.95,2025-05-09,2026-05-08
ZAL,252,2280676.32,48.01,2025-05-09,2026-05-08
ANL,252,2243915.96,10.62,2025-05-09,2026-05-08
PSX,252,2220199.55,38.67,2025-05-09,2026-05-08
DSIL,252,2199939.81,10.01,2025-05-09,2026-05-08
MUGHAL,252,2154458.65,76.23,2025-05-09,2026-05-08
IMS,252,2117637.16,17.54,2025-05-09,2026-05-08
LUCK,252,2104977.92,445.73,2025-05-09,2026-05-08
UBL,252,1908335.66,415.22,2025-05-09,2026-05-08
LSECL,252,1904477.08,5.37,2025-05-09,2026-05-08
SNBL,252,1886868.2,19.59,2025-05-09,2026-05-08
CLOV,252,1881727.52,8.89,2025-05-09,2026-05-08
ITTEFAQ,252,1873747.37,7.94,2025-05-09,2026-05-08
BFAGRO,252,1820562.94,33.69,2025-05-09,2026-05-08
LSEVL,251,1810315.13,8.94,2025-05-09,2026-05-08
ASTL,252,1762511.72,16.51,2025-05-09,2026-05-08
DFSM,252,1740239.6,16.87,2025-05-09,2026-05-08
NRL,252,1737082.33,382.68,2025-05-09,2026-05-08
PAKRI,252,1677676.37,16.03,2025-05-09,2026-05-08
MEBL,252,1659043.3,485.95,2025-05-09,2026-05-08
EFERT,252,1650403.35,197.91,2025-05-09,2026-05-08
TPLRF1,250,1645751.68,8.08,2025-05-09,2026-05-08
GATM,252,1634435.85,23.02,2025-05-09,2026-05-08
SPEL,252,1579954.77,44.92,2025-05-09,2026-05-08
FATIMA,252,1522681.98,137.43,2025-05-09,2026-05-08
CEPB,252,1518758.84,29.97,2025-05-09,2026-05-08
MARI,252,1386772.52,650.81,2025-05-09,2026-05-08
IREIT,150,1381123.64,8.11,2025-10-06,2026-05-08
HIRAT,252,1373143.44,7.19,2025-05-09,2026-05-08
ALAC,252,1370149.44,15.66,2025-05-09,2026-05-08
KAPCO,252,1341718.61,27.4,2025-05-09,2026-05-08
MACFL,252,1341400.14,47.29,2025-05-09,2026-05-08
AVN,252,1300685.37,37.17,2025-05-09,2026-05-08
BGL,252,1299500.36,11.05,2025-05-09,2026-05-08
TRSM,252,1296606.81,17.06,2025-05-09,2026-05-08
HIFA,252,1288784.35,5.1,2025-05-09,2026-05-08
LPL,252,1281054.68,20.28,2025-05-09,2026-05-08
IBLHL,252,1273736.69,48.05,2025-05-09,2026-05-08
GWLC,252,1221152.11,52.29,2025-05-09,2026-05-08
ALTN,252,1217582.26,8.78,2025-05-09,2026-05-08
ATRL,252,1214742.71,903.72,2025-05-09,2026-05-08
SBL,247,1209045.31,10.25,2025-05-09,2026-05-08
NETSOL,252,1186696.38,140.34,2025-05-09,2026-05-08
OBOY,252,1152540.41,9.76,2025-05-09,2026-05-08
CHBL,252,1109230.55,8.83,2025-05-09,2026-05-08
FCEPL,252,1093995.22,104.59,2025-05-09,2026-05-08
SPWL,252,1093699.4,9.49,2025-05-09,2026-05-08
TPLT,252,1089874.69,15.5,2025-05-09,2026-05-08
JVDC,252,1050399.01,138.3,2025-05-09,2026-05-08
DOL,252,991720.0,30.99,2025-05-09,2026-05-08
CTM,252,985964.35,7.1,2025-05-09,2026-05-08
SGPL,252,976412.82,71.98,2025-05-09,2026-05-08
KOHC,252,957813.23,88.06,2025-05-09,2026-05-08
AICL,252,925963.81,82.68,2025-05-09,2026-05-08
AGSML,252,925090.79,10.51,2025-05-09,2026-05-08
KOIL,252,915681.17,50.11,2025-05-09,2026-05-08
DHPL,213,892071.08,26.55,2025-05-09,2026-03-11
GHGL,252,859666.57,37.16,2025-05-09,2026-05-08
PKGP,251,855885.18,43.87,2025-05-09,2026-05-08
PIOC,252,851515.41,278.38,2025-05-09,2026-05-08
ILP,252,833164.93,83.64,2025-05-09,2026-05-08
CWSM,162,796941.09,51.18,2025-05-09,2025-12-29
MERIT,252,778873.79,10.8,2025-05-09,2026-05-08
AKDSL,252,759025.15,34.45,2025-05-09,2026-05-08
AGL,252,751956.47,47.97,2025-05-09,2026-05-08
JSBL,252,740262.91,12.0,2025-05-09,2026-05-08
CRTM,252,739486.0,73.02,2025-05-09,2026-05-08
GAL,252,729479.34,454.64,2025-05-09,2026-05-08
OCTOPUS,252,694095.48,33.18,2025-05-09,2026-05-08
RPL,252,689167.39,16.81,2025-05-09,2026-05-08
BFBIO,252,676171.33,139.93,2025-05-09,2026-05-08
CSAP,252,644134.65,92.61,2025-05-09,2026-05-08
IPAK,252,640272.52,30.19,2025-05-09,2026-05-08
HTL,252,630546.66,43.84,2025-05-09,2026-05-08
HGFA,250,629458.07,15.07,2025-05-09,2026-05-08
JSCL,252,625935.46,18.49,2025-05-09,2026-05-08
QTECH,252,624168.4,31.7,2025-05-09,2026-05-08
MCB,252,623184.07,404.57,2025-05-09,2026-05-08
HMB,252,599390.81,117.16,2025-05-09,2026-05-08
FLYNG,252,582658.69,42.73,2025-05-09,2026-05-08
BAHL,252,582120.44,170.7,2025-05-09,2026-05-08
KTML,251,573064.21,49.12,2025-05-09,2026-05-08
ISL,252,570644.91,79.54,2025-05-09,2026-05-08
FECTC,252,569840.68,92.88,2025-05-09,2026-05-08
NCL,252,563782.4,39.76,2025-05-09,2026-05-08
ECOP,252,563110.39,48.39,2025-05-09,2026-05-08
TPLI,245,557698.84,26.0,2025-05-12,2026-05-08
SGF,252,544611.99,118.99,2025-05-09,2026-05-08
EPQL,252,531860.04,23.44,2025-05-09,2026-05-08
PIL,251,524330.92,6.35,2025-05-09,2026-05-08
NRSL,252,505659.68,34.31,2025-05-09,2026-05-08
KML,250,496374.8,8.84,2025-05-09,2026-05-08
NATF,252,492590.63,386.69,2025-05-09,2026-05-08
STCL,252,489237.29,11.71,2025-05-09,2026-05-08
CJPL,248,471918.94,13.99,2025-05-09,2026-05-08
HICL,251,465035.3,10.02,2025-05-09,2026-05-08
AGP,252,445980.74,187.38,2025-05-09,2026-05-08
DBCI,252,431658.45,7.25,2025-05-09,2026-05-08
GHNI,252,430816.1,857.55,2025-05-09,2026-05-08
TSPL,250,420948.62,9.69,2025-05-09,2026-05-08
PINL,247,417202.08,9.76,2025-05-09,2026-05-08
FPJM,252,401083.87,7.48,2025-05-09,2026-05-08
LIVEN,252,389789.48,38.01,2025-05-09,2026-05-08
KOHP,251,381062.64,28.09,2025-05-09,2026-05-08
FCEL,245,375761.16,5.88,2025-05-13,2026-05-08
FFLM,249,369257.0,7.48,2025-05-09,2026-05-08
TATM,252,365648.81,146.4,2025-05-09,2026-05-08
GLAXO,252,365620.89,364.64,2025-05-09,2026-05-08
CHCC,252,357451.73,289.3,2025-05-09,2026-05-08
POL,252,338366.6,657.58,2025-05-09,2026-05-08
ZUMA,136,320164.04,73.69,2025-10-24,2026-05-08
ACPL,252,316924.6,231.86,2025-05-09,2026-05-08
UCAPM,251,316662.98,5.26,2025-05-09,2026-05-08
DWSM,252,315018.88,8.58,2025-05-09,2026-05-08
MSCL,252,305021.2,29.88,2025-05-09,2026-05-08
SKRS,250,292021.09,29.55,2025-05-09,2026-05-08
SAZEW,252,290828.19,2181.66,2025-05-09,2026-05-08
PABC,252,289866.87,107.44,2025-05-09,2026-05-08
DNCC,248,287474.92,19.64,2025-05-09,2026-05-08
HWQS,247,274977.4,19.99,2025-05-09,2026-05-08
MFL,252,272217.89,52.43,2025-05-09,2026-05-08
PTL,252,264033.25,55.13,2025-05-09,2026-05-08
UDLI,247,262345.67,17.92,2025-05-09,2026-05-08
ESBL,249,255038.59,14.82,2025-05-09,2026-05-08
PICT,252,250420.31,40.01,2025-05-09,2026-05-08
KOHE,252,242177.62,17.04,2025-05-09,2026-05-08
ORM,245,238358.12,9.51,2025-05-12,2026-05-08
ADMM,252,234528.22,90.67,2025-05-09,2026-05-08
INIL,252,226879.69,159.2,2025-05-09,2026-05-08
MIRKS,249,224803.48,32.37,2025-05-09,2026-05-08
TGL,252,223074.25,167.0,2025-05-09,2026-05-08
CYAN,213,219521.71,41.91,2025-05-09,2026-03-11
FEM,246,212681.34,8.31,2025-05-12,2026-05-08
FANM,245,211471.12,5.98,2025-05-09,2026-05-08
SHNI,248,206484.65,7.2,2025-05-09,2026-05-08
SPL,251,201981.86,78.9,2025-05-09,2026-05-08
BAPL,252,191134.23,39.3,2025-05-09,2026-05-08
STL,231,187045.49,58.53,2025-05-09,2026-05-08
SMCPL,251,181283.54,41.8,2025-05-09,2026-05-08
CPPL,252,173850.03,80.76,2025-05-09,2026-05-08
KSBP,252,173841.38,193.48,2025-05-09,2026-05-08
ABL,252,173775.48,180.97,2025-05-09,2026-05-08
JGICL,252,169772.3,72.27,2025-05-09,2026-05-08
BERG,252,167129.03,92.89,2025-05-09,2026-05-08
JSML,251,166774.47,85.81,2025-05-09,2026-05-08
IGIHL,252,164491.52,237.69,2025-05-09,2026-05-08
DEL,252,161413.5,17.84,2025-05-09,2026-05-08
ICL,252,157134.12,150.14,2025-05-09,2026-05-08
MTL,252,150665.64,569.71,2025-05-09,2026-05-08
FIBLM,244,149221.77,11.9,2025-05-09,2026-05-08
LCI,252,147806.89,233.71,2025-05-09,2026-05-08
BNWM,251,147251.02,63.05,2025-05-09,2026-05-08
GATI,252,143242.82,88.89,2025-05-09,2026-05-08
SEL,217,132109.07,27.92,2025-05-12,2026-05-08
BIFO,252,130149.82,140.35,2025-05-09,2026-05-08
TCORP,251,128113.3,23.91,2025-05-09,2026-05-08
ZTL,224,117541.39,18.83,2025-05-12,2026-05-08
BCL,252,115547.63,75.79,2025-05-09,2026-05-08
BFMOD,251,113702.83,23.88,2025-05-12,2026-05-08
ICCI,250,112285.76,11.71,2025-05-09,2026-05-08
SAIF,251,109545.71,33.63,2025-05-09,2026-05-08
APL,252,109139.52,593.6,2025-05-09,2026-05-08
ANSM,180,108562.0,14.32,2025-08-15,2026-05-08
MWMP,250,106751.44,67.25,2025-05-09,2026-05-08
WAFI,252,99878.6,199.5,2025-05-09,2026-05-08
GFIL,250,98336.93,27.48,2025-05-09,2026-05-08
FEROZ,252,97926.68,400.91,2025-05-09,2026-05-08
AHL,252,97396.85,105.3,2025-05-09,2026-05-08
KOHTM,252,94264.21,54.5,2025-05-09,2026-05-08
UVIC,222,91085.1,20.07,2025-05-09,2026-05-08
PKGI,240,90494.52,25.66,2025-05-09,2026-05-08
SHDT,251,90116.86,41.15,2025-05-09,2026-05-08
BWHL,252,88048.83,202.34,2025-05-09,2026-05-08
ARUJ,250,87506.93,11.7,2025-05-09,2026-05-08
GEMSPNL,211,85772.93,85.95,2025-05-09,2026-03-19
SERT,251,82159.87,44.48,2025-05-09,2026-05-08
INKL,233,81425.52,82.5,2025-05-09,2026-05-06
AGIL,251,80934.93,171.78,2025-05-09,2026-05-08
UNIC,251,80770.77,12.39,2025-05-09,2026-05-08
KSTM,236,80742.36,10.2,2025-05-12,2026-05-08
EMCO,249,80552.64,45.28,2025-05-09,2026-05-08
RICL,244,73785.05,12.96,2025-05-09,2026-05-08
HALEON,252,73101.88,787.08,2025-05-09,2026-05-08
IML,238,71132.17,24.29,2025-05-12,2026-05-08
SCBPL,252,69894.16,58.05,2025-05-09,2026-05-08
SEPL,252,67858.04,150.34,2025-05-09,2026-05-08
ASTM,242,67631.32,18.66,2025-05-09,2026-05-08
ATIL,250,66660.21,71.45,2025-05-09,2026-05-08
HAEL,246,66401.32,22.21,2025-05-09,2026-05-08
FML,245,64932.32,51.57,2025-05-09,2026-05-08
PPP,252,64596.01,138.03,2025-05-09,2026-05-08
GAMON,248,64182.72,20.63,2025-05-09,2026-05-08
DWTM,238,64121.79,9.01,2025-05-09,2026-05-08
PNSC,252,62973.63,539.65,2025-05-09,2026-05-08
NEXT,249,61208.16,11.75,2025-05-09,2026-05-08
GSPM,236,60320.75,4.35,2025-05-09,2026-05-08
IDRT,243,59026.63,28.0,2025-05-09,2026-05-08
OTSU,251,59004.41,297.64,2025-05-09,2026-05-08
IDYM,252,58623.66,144.92,2025-05-09,2026-05-08
UBDL,249,57982.62,27.38,2025-05-09,2026-05-08
PASM,238,55448.35,5.48,2025-05-09,2026-05-08
SINDM,245,55188.16,22.32,2025-05-12,2026-05-08
PAKT,252,54460.11,1407.02,2025-05-09,2026-05-08
OLPM,248,52931.46,23.0,2025-05-09,2026-05-08
GADT,252,52787.98,287.49,2025-05-09,2026-05-08
RUPL,212,51913.08,25.18,2025-05-09,2026-05-08
MRNS,251,51180.04,66.31,2025-05-09,2026-05-08
HRPL,227,50919.42,18.63,2025-05-09,2026-05-08
GEMPACRA,131,50466.43,31.25,2025-06-30,2026-05-08
FHAM,248,49571.42,33.01,2025-05-09,2026-05-08
BOK,252,48329.39,33.2,2025-05-09,2026-05-08
PCAL,251,47963.81,157.36,2025-05-09,2026-05-08
ZAHID,244,47592.04,56.95,2025-05-12,2026-05-08
JDMT,242,46740.23,123.54,2025-05-09,2026-05-08
PAKD,252,46556.44,124.45,2025-05-09,2026-05-08
GRYL,237,45980.94,20.26,2025-05-13,2026-05-08
NICL,252,45775.83,169.24,2025-05-09,2026-05-08
JUBS,243,44917.04,50.0,2025-05-09,2026-05-08
TOWL,249,44629.47,125.67,2025-05-09,2026-05-08
BPL,241,44613.28,45.99,2025-05-13,2026-05-08
FCIBL,228,42805.27,36.48,2025-05-09,2026-05-08
BRRG,248,42095.0,42.5,2025-05-09,2026-05-08
ALIFE,218,41552.72,34.0,2025-05-09,2026-05-08
MFFL,251,41173.52,157.02,2025-05-09,2026-05-08
EPCLPS,189,40617.63,12.49,2025-05-12,2026-05-08
THALL,252,39037.73,646.0,2025-05-09,2026-05-08
SSOM,252,38655.01,423.49,2025-05-09,2026-05-08
ARCTM,234,38570.45,27.23,2025-05-09,2026-05-08
AGTL,252,38455.84,370.39,2025-05-09,2026-05-08
UDPL,249,38260.37,115.01,2025-05-09,2026-05-08
OLPL,241,38245.41,48.0,2025-05-09,2026-05-08
TSMF,227,37616.93,20.13,2025-05-14,2026-05-08
MSOT,244,37200.27,78.46,2025-05-09,2026-05-08
HINOON,252,37085.52,978.0,2025-05-09,2026-05-08
SSML,241,36677.03,25.6,2025-05-09,2026-05-08
QUET,230,35949.07,15.34,2025-05-09,2026-05-08
ATBA,252,35844.52,226.22,2025-05-09,2026-05-08
SURC,247,35745.06,129.24,2025-05-12,2026-05-08
GUSM,214,33651.89,6.6,2025-05-12,2026-05-08
FPRM,220,32091.6,12.01,2025-05-09,2026-05-08
AGIC,249,31454.64,35.59,2025-05-09,2026-05-08
SML,216,30757.04,128.01,2025-05-09,2026-05-08
SNAI,210,30577.25,35.0,2025-05-12,2026-05-08
BWCL,252,30144.1,464.76,2025-05-09,2026-05-08
SHFA,252,29724.31,490.18,2025-05-09,2026-05-08
HABSM,252,28796.01,72.0,2025-05-09,2026-05-08
DWAE,251,28604.62,27.31,2025-05-09,2026-05-08
CLVL,247,28072.89,12.88,2025-05-09,2026-05-08
PAKL,213,27972.09,40.87,2025-05-12,2026-05-08
CHAS,230,27340.23,76.13,2025-05-09,2026-05-08
FRSM,238,27259.72,45.04,2025-05-13,2026-05-08
FTSM,235,27102.44,22.35,2025-05-09,2026-05-08
FTMM,231,27065.12,18.22,2025-05-09,2026-05-08
MUGHALC,195,26459.36,64.28,2025-06-17,2026-05-08
SLYT,234,26333.43,14.75,2025-05-09,2026-05-08
MQTM,218,26168.66,22.0,2025-05-13,2026-05-08
KHTC,251,24678.99,315.78,2025-05-09,2026-05-08
LPGL,251,24465.16,81.84,2025-05-09,2026-05-08
HINO,252,24251.41,343.03,2025-05-09,2026-05-08
NCML,219,24227.04,13.25,2025-05-12,2026-05-08
GVGL,252,23855.11,54.45,2025-05-09,2026-05-08
DMTM,122,23421.7,8.56,2025-05-09,2025-11-14
ABOT,252,23190.65,891.67,2025-05-09,2026-05-08
PAKOXY,251,22791.54,271.0,2025-05-09,2026-05-08
JLICL,246,22483.14,172.0,2025-05-09,2026-05-08
SARC,241,22208.4,68.25,2025-05-12,2026-05-08
PGLC,248,22060.61,13.04,2025-05-09,2026-05-08
LEUL,247,21893.73,31.5,2025-05-09,2026-05-08
NONS,217,21563.41,94.85,2025-05-12,2026-05-08
REDCO,228,21438.64,26.0,2025-05-09,2026-05-08
SITC,252,21151.69,888.1,2025-05-09,2026-05-08
INDU,252,20426.4,2007.8,2025-05-09,2026-05-08
ARPL,251,19707.38,393.29,2025-05-09,2026-05-08
JSIL,226,19564.45,39.98,2025-05-09,2026-05-08
GEMPAPL,121,19304.6,10.25,2025-05-09,2026-05-08
DYNO,251,19106.46,307.87,2025-05-09,2026-05-08
SIBL,231,18781.46,7.79,2025-05-12,2026-05-08
FRCL,216,18565.74,66.8,2025-05-09,2026-05-08
IGIL,220,18306.68,20.49,2025-05-09,2026-05-08
GLPL,238,18090.5,700.02,2025-05-09,2026-05-08
ANTM,214,17576.27,29.71,2025-05-09,2026-05-08
AATM,242,17569.12,55.5,2025-05-09,2026-05-08
PKGS,251,17260.9,740.0,2025-05-09,2026-05-08
FECM,244,16797.19,17.0,2025-05-09,2026-05-08
ALNRS,213,16577.5,133.92,2025-05-09,2026-05-08
MUREB,252,16091.96,933.72,2025-05-09,2026-05-08
RUBY,221,15980.11,17.01,2025-05-09,2026-05-08
EXIDE,252,15443.88,547.6,2025-05-09,2026-05-08
POML,250,15249.52,141.59,2025-05-09,2026-05-08
LSEFSL,229,15210.69,15.11,2025-05-09,2026-05-08
JATM,223,14954.29,25.64,2025-05-09,2026-05-08
STYLERS,230,14595.17,46.41,2025-05-09,2026-05-08
ASHT,217,14580.54,47.84,2025-05-13,2026-05-08
BUXL,243,14182.28,152.91,2025-05-09,2026-05-08
AMBL,196,14104.87,32.75,2025-05-15,2026-05-08
SHEZ,246,13690.33,234.13,2025-05-09,2026-05-08
PPVC,215,13481.16,17.37,2025-05-13,2026-05-07
EFUG,240,13119.92,123.0,2025-05-09,2026-05-08
COLG,252,12872.37,1098.44,2025-05-09,2026-05-08
SRVI,251,12834.2,1775.3,2025-05-09,2026-05-08
ADAMS,231,11761.41,78.29,2025-05-09,2026-05-08
OML,186,11045.53,31.46,2025-05-09,2026-05-08
MCBIM,247,10641.84,176.46,2025-05-09,2026-05-08
ATLH,252,10432.62,1754.55,2025-05-09,2026-05-08
DADX,233,10372.19,55.48,2025-05-09,2026-05-08
DLL,250,9898.13,523.66,2025-05-09,2026-05-08
EFUL,240,9880.79,145.65,2025-05-09,2026-05-07
WAHN,250,9410.45,284.23,2025-05-09,2026-05-08
IDSM,226,9252.67,29.99,2025-05-13,2026-05-08
SUTM,244,9231.75,96.99,2025-05-09,2026-05-08
HUSI,161,8306.01,32.45,2025-05-12,2026-05-08
DAAG,240,8265.36,61.66,2025-05-09,2026-05-08
PSYL,184,7989.22,70.54,2025-05-09,2026-05-08
CASH,189,7737.3,50.3,2025-05-09,2026-03-24
GEMBCEM,120,7577.25,11.0,2025-05-09,2026-05-08
CENI,223,7221.43,53.39,2025-05-09,2026-05-08
FZCM,244,7199.91,246.55,2025-05-13,2026-05-08
PRWM,165,6751.82,66.05,2025-05-09,2026-05-08
SHCM,211,6665.39,43.01,2025-05-15,2026-05-08
SHJS,147,6308.07,167.0,2025-05-09,2026-05-07
STML,150,6130.69,39.95,2025-05-12,2026-05-08
SANSM,212,6082.66,125.01,2025-05-09,2026-05-07
TPLL,158,5762.41,23.02,2025-05-13,2026-05-08
BTL,194,5739.52,1297.91,2025-05-12,2026-05-08
NAGC,144,5661.03,73.98,2025-05-09,2026-05-08
JKSM,202,5407.1,171.0,2025-05-12,2026-05-06
ARPAK,121,5342.31,101.43,2025-05-16,2026-05-08
KPUS,196,5073.64,894.39,2025-05-12,2026-05-08
CCM,198,4950.49,43.69,2025-05-16,2026-05-08
SZTM,181,4882.99,52.0,2025-05-20,2026-05-08
PIM,207,4823.98,21.1,2025-05-09,2026-05-08
AKDHL,214,4139.52,157.95,2025-05-09,2026-05-08
SHSML,219,4130.14,419.69,2025-05-09,2026-05-08
POWERPS,170,4057.7,25.0,2025-05-09,2026-05-08
DMC,140,3882.79,214.71,2025-05-09,2026-05-08
FASM,203,3812.9,349.39,2025-05-14,2026-05-08
BATA,252,3450.18,989.29,2025-05-09,2026-05-08
BELA,232,3441.89,64.75,2025-05-09,2026-05-08
PSEL,250,3217.01,861.07,2025-05-09,2026-05-08
GOC,211,3075.43,84.86,2025-05-12,2026-04-30
DINT,185,2987.94,60.88,2025-05-12,2026-05-08
STJT,203,2592.97,120.06,2025-05-12,2026-05-08
BAFS,181,2578.77,258.05,2025-05-15,2026-05-08
ASLPS,121,2518.66,17.22,2025-05-14,2026-05-07
DIIL,160,2467.51,73.91,2025-05-09,2026-05-08
AHTM,149,2404.93,79.79,2025-06-24,2026-05-08
MEHT,239,2183.78,242.25,2025-05-09,2026-05-08
JSGCL,197,2065.52,160.16,2025-05-09,2026-05-08
ELSM,146,2046.48,114.82,2025-05-16,2026-05-08
REWM,162,1977.89,179.58,2025-05-09,2026-05-08
AKGL,136,1930.72,57.85,2025-05-20,2026-05-06
ZIL,224,1839.03,321.12,2025-05-09,2026-05-08
SASML,192,1766.52,329.0,2025-05-13,2026-05-08
BHAT,167,1687.98,827.08,2025-05-19,2026-05-08
PECO,230,1672.64,605.01,2025-05-09,2026-05-08
SCL,228,1624.14,750.0,2025-05-09,2026-05-08
PRET,169,1594.01,464.99,2025-05-12,2026-05-08
SFL,216,1566.93,983.96,2025-05-09,2026-05-08
FSWL,127,1370.24,76.03,2025-06-17,2026-05-08
TSML,175,1307.08,326.25,2025-05-09,2026-05-08
TICL,197,1285.23,901.52,2025-05-16,2026-05-08
HPL,247,1121.45,4001.41,2025-05-09,2026-05-08
NSRM,143,990.44,135.0,2025-05-09,2026-05-06
ELCM,169,963.67,179.0,2025-05-16,2026-05-08
SIEM,209,930.34,1534.97,2025-05-09,2026-05-08
IBFL,177,843.9,221.86,2025-05-09,2026-05-08
FIL,124,826.25,154.84,2025-06-17,2026-05-07
JDWS,245,736.37,894.85,2025-05-09,2026-05-08
NESTLE,252,476.68,7501.06,2025-05-09,2026-05-08
RCML,174,439.89,400.22,2025-05-09,2026-04-15
AABS,243,337.0,897.38,2025-05-09,2026-05-08
KHYT,204,305.61,1577.75,2025-05-09,2026-05-08
ISIL,214,256.01,1899.22,2025-05-09,2026-05-08
RMPL,250,220.43,9430.72,2025-05-09,2026-05-08
SAPT,189,219.06,1360.0,2025-05-09,2026-05-08
HAFL,124,205.93,431.01,2025-05-15,2026-05-08
UPFL,252,69.96,26600.0,2025-05-09,2026-05-08
PIAHCLB,240,64.78,19269.06,2025-05-09,2026-05-08
